name,tf_idf_tags_033,033_correct tags,033_sum(tags),tf_idf_tags_050,060_correct tags,060_sum(tags),tf_idf_tags_060,060_correct tags,060_sum(tags),tf_idf_tags_080,080_correct tags,080_sum(tags),hierarchical_cluster_tags,hier_correct_tags,hier_sum_tags,,,,
Percona Server,",server,cloud,percona,nosql,optimized,computing,access,modern,hardware",,,",cloud,percona,nosql,optimized,computing,access,modern,hardware",,,",percona,nosql,optimized,computing,access,modern,hardware",,,",percona,optimized,computing,modern,hardware",,,",cloud",,,,,,
.NET Core Runtime Dependencies,",core,net,runtime,dependencies",,,",core,net,runtime,dependencies",,,",core,net,runtime,dependencies",,,",core,net,runtime,dependencies",,,",mage,ci",,,,,,
Oryx node-6.9,",nodejs,host,built,web,artifacts,entry,point,69",,,",nodejs,host,built,artifacts,entry,point,69",,,",69",,,",69",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
rust,",programming,language,systems,speed,rust,focused,safety,concurrency",,,",programming,language,systems,speed,rust,focused,safety,concurrency",,,",programming,systems,speed,rust,focused,safety,concurrency",,,",systems,speed,rust,focused,safety,concurrency",,,",programming,language",,,,,,
IBM Db2 Warehouse Developer Edition,",edition,db2,warehouse,developer",,,",edition,db2,warehouse,developer",,,",edition,db2,warehouse,developer",,,",edition,db2,warehouse,developer",,,",open,source,pe",,,,,,
Azure Industrial OPC Graph processor microservice,",microservice,azure,industrial,contains,opc,graph,processor",,,",microservice,industrial,contains,opc,graph,processor",,,",microservice,industrial,contains,opc,graph,processor",,,",graph,processor",,,",os,ros",,,,,,
backdrop,",comprehensive,businesses,cms,medium,sized,nonprofits",,,",comprehensive,businesses,cms,medium,sized,nonprofits",,,",comprehensive,businesses,cms,medium,sized,nonprofits",,,",comprehensive,businesses,cms,medium,sized,nonprofits",,,",comprehensive",,,,,,
composer,",php,composer,dependency,manager,written",,,",php,composer,dependency,manager,written",,,",php,composer,dependency,manager,written",,,",php,composer,dependency,manager,written",,,",os,ros",,,,,,
CoScale agent,",applications,powered,monitoring,dockerized,production,anomaly,detection",,,",applications,powered,monitoring,dockerized,production,anomaly,detection",,,",applications,powered,monitoring,dockerized,production,anomaly,detection",,,",powered,dockerized,production,anomaly,detection",,,",application,app",,,,,,
neurodebian,",software,debian,ubuntu,neurodebian,neuroscience,research,derivatives",,,",software,debian,ubuntu,neurodebian,neuroscience,research,derivatives",,,",software,debian,ubuntu,neurodebian,neuroscience,research,derivatives",,,",debian,ubuntu,neurodebian,neuroscience,research,derivatives",,,",search,arch",,,,,,
ASP.NET,",aspnet",,,",aspnet",,,",aspnet",,,",aspnet",,,",mage,ci",,,,,,
ubuntu-upstart,",upstart,eventbased,replacement,/sbin/init,daemon,starts,processes,boot",,,",upstart,eventbased,replacement,/sbin/init,daemon,starts,processes,boot",,,",upstart,eventbased,replacement,/sbin/init,daemon,starts,processes,boot",,,",upstart,eventbased,replacement,/sbin/init,daemon,starts,processes,boot",,,",base,based",,,,,,
ghost,",free,open,source,platform,written,ghost,blogging,javascript",,,",free,written,ghost,blogging,javascript",,,",written,ghost,blogging,javascript",,,",ghost,blogging,javascript",,,",open,source",,,,,,
Azure Cognitive Services Keyphrase,",azure,cognitive,services,key,phrase,extraction",,,",cognitive,services,key,phrase,extraction",,,",cognitive,services,key,phrase,extraction",,,",cognitive,services,key,phrase,extraction",,,",mage,ci",,,,,,
Windows ML container Insider,",windows,base,containers,insider,ml",,,",windows,base,containers,insider,ml",,,",windows,base,containers,insider,ml",,,",windows,base,containers,insider,ml",,,\N,,,,,,
Metricbeat,",lightweight,shipper,metrics",,,",lightweight,shipper,metrics",,,",lightweight,shipper,metrics",,,",lightweight,shipper,metrics",,,",shipper,ship,ip",,,,,,
Azure Event Grid on IoT Edge,",edge,azure,iot,event,grid",,,",edge,azure,iot,event,grid",,,",edge,iot,event,grid",,,",edge,iot,event,grid",,,\N,,,,,,
Kaazing Enterprise Gateway,",scalable,applications,platform,mobile,secure,realtime,performance,robust,reactive,eventdriven",,,",scalable,mobile,secure,realtime,performance,robust,reactive,eventdriven",,,",mobile,secure,robust,reactive,eventdriven",,,",reactive,eventdriven",,,",application,app",,,,,,
OpenMapTiles Map Server,",api,openstreetmap,maps,leaflet,openlayers,wms,wmts,gis,mapbox,sdks",,,",api,openstreetmap,maps,leaflet,openlayers,wms,wmts,gis,mapbox,sdks",,,",openstreetmap,maps,leaflet,openlayers,wms,wmts,gis,mapbox,sdks",,,",openstreetmap,maps,leaflet,openlayers,wms,wmts,gis,mapbox,sdks",,,",box",,,,,,
rocket.chat,",free,open,source,solution,team,rocketchat,ultimate,communications",,,",free,solution,team,rocketchat,ultimate,communications",,,",solution,team,rocketchat,ultimate,communications",,,",team,rocketchat,ultimate,communications",,,",communication",,,,,,
zookeeper,",server,opensource,apache,zookeeper,enables,highly,reliable,distributed,coordination",,,",apache,zookeeper,enables,highly,reliable,distributed,coordination",,,",zookeeper,enables,highly,reliable,coordination",,,",zookeeper,enables,highly,coordination",,,",open,source",,,,,,
NetScaler CPX Express Rel 12.0,",free,fullfeatured,microservice,aware,load,balancer,kubernetes,cluster,managers",,,",free,fullfeatured,microservice,aware,load,balancer,kubernetes,cluster,managers",,,",fullfeatured,aware,load,balancer,cluster,managers",,,",fullfeatured,aware,load,balancer,managers",,,",os,ros",,,,,,
couchdb,",database,api,couchdb,json,documents,http,javascript/declarative,indexing",,,",database,api,couchdb,json,documents,http,javascript/declarative,indexing",,,",api,couchdb,json,documents,http,javascript/declarative,indexing",,,",couchdb,json,documents,http,javascript/declarative,indexing",,,",data,base,database",,,,,,
varnish,",apis,dynamic,web,http,designed,varnish,accelerator,contentheavy,sites",,,",apis,dynamic,http,designed,varnish,accelerator,contentheavy,sites",,,",apis,dynamic,http,designed,varnish,accelerator,contentheavy,sites",,,",designed,varnish,accelerator,contentheavy,sites",,,\N,,,,,,
Azure Industrial IoT OPC Twin module,",edge,azure,iot,module,industrial,contains,opc,twin",,,",edge,iot,module,industrial,contains,opc,twin",,,",edge,module,industrial,contains,opc,twin",,,",twin",,,",ai",,,,,,
ACI Word Count,",azure,sample,instances,docsmicrosoftcom,script,word,counting,articles",,,",sample,instances,docsmicrosoftcom,script,word,counting,articles",,,",sample,instances,docsmicrosoftcom,script,word,counting,articles",,,",instances,docsmicrosoftcom,script,word,counting,articles",,,",os,ros",,,,,,
.NET Core SDK (Preview),",core,net,sdk,preview",,,",core,net,sdk,preview",,,",core,net,sdk,preview",,,",core,net,sdk,preview",,,",mage,ci",,,,,,
Logagent - Simple Logging for Docker,",collection,alternative,elasticsearch,splunk,fluentd,logstash,logs,parsing,stores,sematext,filebeat",,,",collection,alternative,elasticsearch,splunk,fluentd,logstash,logs,parsing,stores,sematext,filebeat",,,",collection,alternative,elasticsearch,splunk,fluentd,logstash,logs,parsing,stores,sematext,filebeat",,,",logs,parsing,stores,sematext,filebeat",,,",native,alt",,,,,,
solr,",enterprise,built,source,search,platform,apache,popular,solr,blazingfast,luceneâ„�?,",,,search,,,popular,,,solr,,,blazingfast,luceneâ„�?,",search,popular,solr,blazingfast,luceneâ„�?,",solr,blazingfast,luceneâ„�?,\N
clojure,",lisp,dialect,clojure,runs,jvm",,,",lisp,dialect,clojure,runs,jvm",,,",lisp,dialect,clojure,runs,jvm",,,",lisp,dialect,clojure,runs,jvm",,,",run",,,,,,
mageia,",base,mageia",,,",base,mageia",,,",base,mageia",,,",base,mageia",,,",mage,ci",,,,,,
Microsoft SQL Server,",server,microsoft,sql,engine,linux",,,",server,microsoft,sql,engine,linux",,,",server,microsoft,sql,engine,linux",,,",microsoft,sql,engine,linux",,,",mage,ci",,,,,,
Azure Industrial OPC Historic Access microservice,",microservice,azure,industrial,contains,opc,access,historic",,,",microservice,industrial,contains,opc,access,historic",,,",microservice,industrial,contains,opc,access,historic",,,",access,historic",,,",os,ros",,,,,,
node,",applications,nodejs,platform,networking,javascriptbased,serverside",,,",applications,nodejs,platform,networking,javascriptbased,serverside",,,",applications,nodejs,platform,networking,javascriptbased,serverside",,,",networking,javascriptbased,serverside",,,\N,,,,,,
Software AG Natural CE,",software,ag,natural,community,edition",,,",software,ag,natural,community,edition",,,",software,ag,natural,community,edition",,,",software,ag,natural,community,edition",,,",mage,ci",,,,,,
Software AG Apama Builder,",apama",,,",apama",,,",apama",,,",apama",,,\N,,,,,,
flink,",opensource,powerful,apache,distributed,framework,processing,batch,stream,flinkâ®",,,",powerful,apache,distributed,framework,processing,batch,stream,flinkâ®",,,",powerful,processing,batch,stream,flinkâ®",,,",processing,batch,stream,flinkâ®",,,",open,source",,,,,,
nuxeo,",open,source,nuxeo,content,management,platform,completely,customizable",,,",nuxeo,content,management,completely,customizable",,,",nuxeo,content,management,completely,customizable",,,",nuxeo,completely,customizable",,,",open,source",,,,,,
nats,",opensource,cloud,native,messaging,highperformance,nats",,,",opensource,cloud,native,messaging,highperformance,nats",,,",opensource,cloud,native,messaging,highperformance,nats",,,",cloud,native,messaging,highperformance,nats",,,",open,source",,,,,,
IBM WebSphere Application Server Liberty,",ibm,server,application,websphere,liberty,certified",,,",ibm,server,application,websphere,liberty,certified",,,",ibm,server,application,websphere,liberty,certified",,,",ibm,websphere,liberty,certified",,,",mage,ci",,,,,,
eggdrop,",eggdrop,ircs,oldest,activelydeveloped,bot!",,,",eggdrop,ircs,oldest,activelydeveloped,bot!",,,",eggdrop,ircs,oldest,activelydeveloped,bot!",,,",eggdrop,ircs,oldest,activelydeveloped,bot!",,,",mage,ci",,,,,,
fedora,",builds,fedora",,,",builds,fedora",,,",builds,fedora",,,",builds,fedora",,,",build,ui",,,,,,
Azure Industrial OPC Registry microservice,",microservice,contains,opc,ua,registry",,,",microservice,contains,opc,ua,registry",,,",microservice,contains,opc,ua,registry",,,",microservice,contains,opc,ua,registry",,,",os,ros",,,,,,
gazebo,",project,open,source,robust,rendering,gazebo,simulating,robots,offering,physics",,,",project,robust,rendering,gazebo,simulating,robots,offering,physics",,,",robust,rendering,gazebo,simulating,robots,offering,physics",,,",gazebo,simulating,robots,offering,physics",,,",open,source",,,,,,
IBM Db2 Warehouse client container,",multiple,tools,db2,warehouse,migrate,operate,maintain",,,",multiple,tools,db2,warehouse,migrate,operate,maintain",,,",multiple,tools,db2,warehouse,migrate,operate,maintain",,,",multiple,tools,db2,warehouse,migrate,operate,maintain",,,",tool",,,,,,
Oryx node-6.11,",nodejs,host,built,web,artifacts,entry,point,611",,,",nodejs,host,built,artifacts,entry,point,611",,,",611",,,",611",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
haxe,",programming,language,modern,haxe,level,static,typed,multiple,compilation,targets",,,",programming,modern,haxe,level,static,typed,multiple,compilation,targets",,,",modern,haxe,level,static,typed,multiple,compilation,targets",,,",haxe,level,typed,compilation,targets",,,",programming,language",,,,,,
matomo,",opensource,powerful,analytics,platform,leading,matomo",,,",opensource,powerful,analytics,platform,leading,matomo",,,",opensource,powerful,analytics,platform,leading,matomo",,,",powerful,analytics,leading,matomo",,,",open,source",,,,,,
ACI Hello Files,",azure,sample,volume,mounting,instances,docsmicrosoftcom",,,",sample,volume,mounting,instances,docsmicrosoftcom",,,",sample,volume,mounting,instances,docsmicrosoftcom",,,",sample,volume,mounting,instances,docsmicrosoftcom",,,",os,ros",,,,,,
Windows IoT Core,",windows,core,base,containers,iot",,,",windows,core,base,containers,iot",,,",windows,core,base,containers,iot",,,",windows,core,base,containers,iot",,,",mage,ci",,,,,,
vault,",access,unified,tool,accessing,vault,securely,secrets,interface,tight,control",,,",access,unified,tool,accessing,vault,securely,secrets,interface,tight,control",,,",access,unified,accessing,vault,securely,secrets,interface,tight,control",,,",vault,secrets,tight",,,",tool",,,,,,
Templarbit,",security,platform,business,prevent,attacks,affect,intelligent",,,",security,platform,business,prevent,attacks,affect,intelligent",,,",security,business,prevent,attacks,affect,intelligent",,,",security,business,prevent,attacks,affect,intelligent",,,",platform",,,,,,
Progress Application Server (PAS) for OpenEdge,",server,applications,web,platform,application,support,progress,pas,openedge",,,",server,applications,application,support,progress,pas,openedge",,,",server,support,progress,pas,openedge",,,",server,progress,pas,openedge",,,",application,app",,,,,,
Splunk Enterprise,",platform,operational,intelligence",,,",platform,operational,intelligence",,,",platform,operational,intelligence",,,",platform,operational,intelligence",,,",platform",,,,,,
Azureiotedge Sqlite,",edge,azure,iot,module,capable,accessing,sqlite,databases",,,",edge,iot,module,capable,accessing,sqlite,databases",,,",edge,module,capable,accessing,sqlite,databases",,,",capable,accessing,sqlite,databases",,,",data,base,database",,,,,,
lightstreamer,",server,messaging,optimized,realtime,internet,lightstreamer",,,",server,messaging,optimized,realtime,internet,lightstreamer",,,",server,messaging,optimized,realtime,internet,lightstreamer",,,",messaging,optimized,realtime,internet,lightstreamer",,,",server",,,,,,
Data Accelerator,",contains,local,experience,https://githubcom/microsoft/dataaccelerator",,,",contains,local,experience,https://githubcom/microsoft/dataaccelerator",,,",contains,local,experience,https://githubcom/microsoft/dataaccelerator",,,",contains,local,experience,https://githubcom/microsoft/dataaccelerator",,,",os,ros",,,,,,
alt,",build,linux,alt",,,",build,linux,alt",,,",build,linux,alt",,,",build,linux,alt",,,",build,ui",,,,,,
Azure IoT Edge Agent,",core,edge,azure,iot,runtime,component,agent",,,",core,edge,iot,runtime,component,agent",,,",core,edge,iot,runtime,component,agent",,,",edge,iot,component,agent",,,",run",,,,,,
opensuse,",project,deprecated,current,opensuse,opensuse/leap,opensuse/tumbleweed",,,",project,deprecated,current,opensuse,opensuse/leap,opensuse/tumbleweed",,,",project,deprecated,current,opensuse,opensuse/leap,opensuse/tumbleweed",,,",project,deprecated,current,opensuse,opensuse/leap,opensuse/tumbleweed",,,",base,based",,,,,,
containernetworking,",product,family,networking",,,",product,family,networking",,,",product,family,networking",,,",product,family,networking",,,",ai",,,,,,
spiped,",spiped,utility,creating,symmetrically,encrypted,authenticated,pipes,sockets",,,",spiped,utility,creating,symmetrically,encrypted,authenticated,pipes,sockets",,,",spiped,utility,creating,symmetrically,encrypted,authenticated,pipes,sockets",,,",spiped,utility,creating,symmetrically,encrypted,authenticated,pipes,sockets",,,",ee",,,,,,
IBM Security Guardium External S-TAP,",ibm,cloud,services,security,component,external,onpremises,stap,guardium,protection,intercepts,ip,traffic",,,",external,onpremises,stap,guardium,protection,intercepts,ip,traffic",,,,,,,,,",data,base,database",,,,,,
elasticsearch,",data,elasticsearch,powerful,open,source,search,analytics,engine,easy,explore",,,",elasticsearch,powerful,search,analytics,engine,easy,explore",,,",elasticsearch,powerful,search,engine,easy,explore",,,",explore",,,",open,source",,,,,,
Senzing Package Installer,",api,volumes,install,senzing,mounted",,,",api,volumes,install,senzing,mounted",,,",api,volumes,install,senzing,mounted",,,",api,volumes,install,senzing,mounted",,,",volume,mount,secure",,,,,,
Reverse Proxy for IoT Industrial,",azure,iot,instance,nginx,reverse,proxy,requests,industrial",,,",iot,instance,nginx,reverse,proxy,requests,industrial",,,",instance,nginx,reverse,proxy,requests,industrial",,,",instance,nginx,reverse,proxy,requests",,,",pr",,,,,,
percona,",server,database,management,fork,mysql,percona,relational,created",,,",database,management,fork,mysql,percona,relational,created",,,",management,fork,mysql,percona,relational,created",,,",fork,mysql,percona,relational,created",,,",data,base,database",,,,,,
Software AG Adabas CE,",community,edition,adabas",,,",community,edition,adabas",,,",community,edition,adabas",,,",community,edition,adabas",,,\N,,,,,,
Software AG Microservices Runtime,",microservices,runtime,webmethods",,,",microservices,runtime,webmethods",,,",microservices,runtime,webmethods",,,",microservices,runtime,webmethods",,,",mage,ci",,,,,,
Software AG Universal Messaging Tools,",universal,messaging",,,",universal,messaging",,,",universal,messaging",,,",universal,messaging",,,",mage,ci",,,,,,
cheers,",dockercon,2019,cheer!",,,",dockercon,2019,cheer!",,,",dockercon,2019,cheer!",,,",dockercon,2019,cheer!",,,",ee",,,,,,
Oryx node-4.4,",nodejs,host,built,web,artifacts,entry,point,44",,,",nodejs,host,built,artifacts,entry,point,44",,,",44",,,",44",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
IBM Cloud Automation Manager,",ibm,cloud,service,multiple,deployment,private,automated,provisioning,clouds,selfservice,consumption,governance",,,",multiple,deployment,private,automated,provisioning,clouds,selfservice,consumption,governance",,,",multiple,deployment,private,automated,provisioning,clouds,selfservice,consumption,governance",,,,,,",cloud",,,,,,
Azure Industrial OPC UA device registry microservice,",microservice,azure,industrial,device,contains,opc,ua,registry",,,",microservice,industrial,device,contains,opc,ua,registry",,,",microservice,industrial,device,contains,opc,ua,registry",,,",device,registry",,,",os,ros",,,,,,
MlOps Python,",agent,pipeline,https://githubcom/microsoft/mlopspython",,,",agent,pipeline,https://githubcom/microsoft/mlopspython",,,",agent,pipeline,https://githubcom/microsoft/mlopspython",,,",agent,pipeline,https://githubcom/microsoft/mlopspython",,,\N,,,,,,
Java SE,",microsoft,azure,enterprise,product,family,azul,builds,openjdk",,,",microsoft,enterprise,product,family,azul,builds,openjdk",,,",microsoft,enterprise,product,family,azul,builds,openjdk",,,",product,family,azul",,,",os,ros",,,,,,
Oryx Build,",build,tools,script,generator",,,",build,tools,script,generator",,,",build,tools,script,generator",,,",build,tools,script,generator",,,",tool",,,,,,
IBM MQ Advanced,",data,cloud,iot,applications,mobile,integrate,onpremises,environments",,,",cloud,iot,applications,mobile,integrate,onpremises,environments",,,",cloud,mobile,integrate,onpremises,environments",,,",mobile,integrate,onpremises,environments",,,",data,base,database",,,,,,
Azure IoT Edge Functions Binding,",base,edge,azure,iot,functions,running",,,",base,edge,azure,iot,functions,running",,,",base,edge,azure,iot,functions,running",,,",edge,azure,functions,running",,,",mage,ci",,,,,,
Businesscentral Onprem,",business,prem",,,",business,prem",,,",business,prem",,,",business,prem",,,\N,,,,,,
Coral FPGA Resource Manager,",scalable,reliable,distributed,acceleration",,,",scalable,reliable,distributed,acceleration",,,",scalable,reliable,distributed,acceleration",,,",scalable,reliable,distributed,acceleration",,,",scalable,reliable,able",,,,,,
Site24x7 Docker Agent,",infrastructure,monitoring,solution,devops,allinone,helps,break,complexity,customers,businesses",,,",infrastructure,monitoring,solution,devops,allinone,helps,break,complexity,customers,businesses",,,",infrastructure,solution,devops,allinone,helps,break,complexity,customers,businesses",,,",allinone,helps,break,complexity,customers",,,",customer,custom",,,,,,
Azure Cognitive Services Language,",azure,cognitive,services,language,detection",,,",azure,cognitive,services,language,detection",,,",cognitive,services,language,detection",,,",cognitive,services,language,detection",,,",mage,ci",,,,,,
gcc,",gnu,compiler,collection,compiling,supports,languages",,,",gnu,compiler,collection,compiling,supports,languages",,,",gnu,compiler,collection,compiling,supports,languages",,,",gnu,compiler,collection,compiling,supports,languages",,,",programming,language",,,,,,
MMLSpark,",learning,microsoft,apache,machine,spark",,,",learning,microsoft,apache,machine,spark",,,",learning,microsoft,apache,machine,spark",,,",learning,microsoft,apache,machine,spark",,,",os,ros",,,,,,
.NET Core (Preview),",core,net,aspnet,preview",,,",core,net,aspnet,preview",,,",core,net,aspnet,preview",,,",core,net,aspnet,preview",,,",mage,ci",,,,,,
K8s Aad Pod Identity Mic,",kubernetes,applications,assign,aad,identities,managed,identity,controllermic",,,",kubernetes,applications,assign,aad,identities,managed,identity,controllermic",,,",kubernetes,assign,aad,identities,managed,identity,controllermic",,,",assign,aad,identities,managed,identity,controllermic",,,",application,app",,,,,,
Nimble Storage Kube Storage Controller,",storage,dynamic,driver,provisioner,flexvolume,nimble",,,",storage,dynamic,driver,provisioner,flexvolume,nimble",,,",storage,dynamic,driver,provisioner,flexvolume,nimble",,,",storage,dynamic,driver,provisioner,flexvolume,nimble",,,\N,,,,,,
rakudo-star,",compiler,programming,language,rakudo,perl,6",,,",compiler,programming,language,rakudo,perl,6",,,",compiler,programming,language,rakudo,perl,6",,,",compiler,programming,rakudo,perl,6",,,",programming,language",,,,,,
Windows IoT Core Insider,",windows,core,base,containers,iot,insider",,,",windows,core,base,containers,iot,insider",,,",windows,core,base,containers,iot,insider",,,",windows,insider",,,",mage,ci",,,,,,
centos,",build,centos",,,",build,centos",,,",build,centos",,,",build,centos",,,",build,ui",,,,,,
ACI Hello World,",azure,nodejs,web,application,instances,docsmicrosoftcom",,,",nodejs,web,application,instances,docsmicrosoftcom",,,",nodejs,web,application,instances,docsmicrosoftcom",,,",instances,docsmicrosoftcom",,,",os,ros",,,,,,
Gitlab Community Edition,",management,gitlab,code,review,git,repository,issue,tracking,ide,activity,streams,wikis",,,",gitlab,code,review,git,repository,issue,tracking,ide,activity,streams,wikis",,,",gitlab,review,git,repository,issue,tracking,ide,activity,streams,wikis",,,,,,",review,code,issue",,,,,,
Software AG Apama Cumulocity JRE,",apama",,,",apama",,,",apama",,,",apama",,,",mage,ci",,,,,,
ros,",applications,project,open,source,operating,building,robot,ros",,,",applications,project,operating,building,robot,ros",,,",project,operating,building,robot,ros",,,",operating,building,robot,ros",,,",build,ui",,,,,,
Azurite,",microsoft,azure,storage,azurite",,,",microsoft,azure,storage,azurite",,,",microsoft,azure,storage,azurite",,,",microsoft,storage,azurite",,,",mage,ci",,,,,,
Oryx node-8.2,",nodejs,host,built,web,artifacts,entry,point,82",,,",nodejs,host,built,artifacts,entry,point,82",,,",82",,,",82",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
Blackfire,",performance,blackfire,empowers,devs,ops,continuously,check,improve,appâ€™s,lifecycle",,,",performance,blackfire,empowers,devs,ops,continuously,check,improve,appâ€™s,lifecycle",,,",performance,blackfire,empowers,devs,ops,continuously,check,improve,appâ€™s,lifecycle",,,",blackfire,empowers,devs,ops,continuously,check,improve,appâ€™s,lifecycle",,,",application,app",,,,,,
Batch Shipyard,",azure,simplify,hpc,batch,workloads",,,",azure,simplify,hpc,batch,workloads",,,",simplify,hpc,batch,workloads",,,",simplify,hpc,batch,workloads",,,",load,workloads,document",,,,,,
ThingsBoard Professional Edition Web Report Microservice,",server,service,pe,headless,standalone,reports,tb,generate,rendering,dashboards,browser",,,",pe,headless,standalone,reports,tb,generate,rendering,dashboards,browser",,,",headless,standalone,reports,tb,generate,rendering,dashboards,browser",,,",reports,tb,generate,dashboards,browser",,,",standalone",,,,,,
Avi Vantage Platform,",service,services,app,softwaredefined,application,loadbalancing,autoscaling,insights,discovery,microsegmentation",,,",service,services,app,softwaredefined,loadbalancing,autoscaling,insights,discovery,microsegmentation",,,",app,softwaredefined,loadbalancing,autoscaling,insights,discovery,microsegmentation",,,",softwaredefined,loadbalancing,autoscaling,insights,microsegmentation",,,",os,ros",,,,,,
drupal,",applications,open,source,content,management,platform,drupal,powering,millions,websites",,,",content,drupal,powering,millions,websites",,,",content,drupal,powering,millions,websites",,,",drupal,powering,millions,websites",,,",application,app",,,,,,
Azure Pipelines Agent,",azure,containerized,agent,pipelines",,,",azure,containerized,agent,pipelines",,,",azure,containerized,agent,pipelines",,,",containerized,agent,pipelines",,,",line,ip",,,,,,
ThingsBoard Professional Edition HTTP Transport Microservice,",microservice,apis,thingsboard,pe,transport,device,based,protocol,http",,,",microservice,apis,thingsboard,pe,transport,device,based,protocol,http",,,",apis,thingsboard,pe,transport,device,based,protocol,http",,,",transport,protocol,http",,,",os,ros",,,,,,
Aerospike,",database,reliable,distributed,optimized,â€�?performance,aerospike,flash,ram",,,",database,reliable,distributed,optimized,â€�?performance,aerospike,flash,ram",,,",reliable,optimized,â€�?performance,aerospike,flash,ram",,,",optimized,aerospike,flash,ram",,,\N,,,,,,
Azure Blob Storage,",azure,blob,storage",,,",azure,blob,storage",,,",azure,blob,storage",,,",azure,blob,storage",,,",ag",,,,,,
teamspeak,",software,quality,communication,teamspeak,voice,internet",,,",software,quality,communication,teamspeak,voice,internet",,,",software,quality,communication,teamspeak,voice,internet",,,",software,quality,communication,teamspeak,voice,internet",,,",communication",,,,,,
Oryx node-8.12,",nodejs,host,built,web,artifacts,entry,point,812",,,",nodejs,host,built,artifacts,entry,point,812",,,",812",,,",812",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
Azure Functions Python,",azure,functions,python",,,",azure,functions,python",,,",azure,functions,python",,,",azure,functions,python",,,",mage,ci",,,,,,
Java SE JDK,",microsoft,enterprise,azul,builds,openjdk,zulu,â€�?jdk",,,",microsoft,enterprise,azul,builds,openjdk,zulu,â€�?jdk",,,",azul,builds,openjdk,zulu,â€�?jdk",,,",jdk",,,",os,ros",,,,,,
Filebeat,",lightweight,shipper,logs",,,",lightweight,shipper,logs",,,",lightweight,shipper,logs",,,",lightweight,shipper,logs",,,",shipper,ship,ip",,,,,,
Oryx node-10.13,",nodejs,host,built,web,artifacts,entry,point,1013",,,",nodejs,host,built,artifacts,entry,point,1013",,,",1013",,,",1013",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
Citrix ADC CPX Express Rel 13.0,",host,application,citrix,adc,cpx,containerbased,delivery,controller,provisioned",,,",application,citrix,adc,cpx,containerbased,delivery,controller,provisioned",,,",citrix,adc,cpx,containerbased,delivery,controller,provisioned",,,",citrix,adc,cpx,containerbased,delivery,controller,provisioned",,,",os,ros",,,,,,
Kaazing Gateway,",gateway,build,kaazing",,,",gateway,build,kaazing",,,",gateway,build,kaazing",,,",gateway,build,kaazing",,,",build,ui",,,,,,
nextcloud,",data,safe,home",,,",data,safe,home",,,",data,safe,home",,,",data,safe,home",,,\N,,,,,,
Arista and Docker Container Tracer,",integration,workloads,document,describes,arista,eos,cloudvision,enhanced,visibility",,,",integration,workloads,document,describes,arista,eos,cloudvision,enhanced,visibility",,,",integration,workloads,document,describes,arista,eos,cloudvision,enhanced,visibility",,,",integration,workloads,describes,arista,eos,cloudvision,enhanced,visibility",,,",load,workloads,document",,,,,,
Oracle Instant Client,",database,client,oracle,12c,instant",,,",database,client,oracle,12c,instant",,,",database,client,oracle,12c,instant",,,",database,client,oracle,12c,instant",,,",data,base,database",,,,,,
known,",platform,blogging,meet,social,known,publishing",,,",platform,blogging,meet,social,known,publishing",,,",platform,blogging,meet,social,known,publishing",,,",blogging,meet,social,known,publishing",,,",platform",,,,,,
Software AG Zementis Server,",server,zementis",,,",server,zementis",,,",server,zementis",,,",server,zementis",,,\N,,,,,,
plone,",free,built,open,source,content,management,plone,zope",,,",free,built,content,management,plone,zope",,,",content,management,plone,zope",,,",plone,zope",,,\N,,,,,,
rabbitmq,",open,source,messaging,broker,rabbitmq,multiprotocol",,,",open,source,messaging,broker,rabbitmq,multiprotocol",,,",source,messaging,broker,rabbitmq,multiprotocol",,,",messaging,broker,rabbitmq,multiprotocol",,,\N,,,,,,
Oryx python-3.6,",host,built,web,artifacts,entry,point,python36",,,",host,built,web,artifacts,entry,point,python36",,,",artifacts,entry,point,python36",,,",python36",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
kapacitor,",data,open,source,framework,series,monitoring,processing,kapacitor,alerting",,,",framework,series,monitoring,processing,kapacitor,alerting",,,",series,monitoring,processing,kapacitor,alerting",,,",series,processing,kapacitor,alerting",,,\N,,,,,,
Splunk Universal Forwarder,",data,instance,collect,splunk",,,",data,instance,collect,splunk",,,",data,instance,collect,splunk",,,",data,instance,collect,splunk",,,",data",,,,,,
Oracle Fusion Middleware  Infrastructure,",cloud,enterprise,platform,oracle,business,digital,fusion,middleware",,,",cloud,enterprise,oracle,business,digital,fusion,middleware",,,",cloud,enterprise,oracle,business,digital,fusion,middleware",,,",digital,fusion,middleware",,,",platform",,,,,,
